metric,size,dims,result
pMSE,10,5,0.1401968323918541
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.19940951249719935
pca_$\Delta\theta$,10,5,0.14465972009111197
corr,10,5,0.23690937754448654
pMSE,10,5,0.08455941289869665
ks_test,10,5,0.31999999999999995
pca_$\Delta\lambda$,10,5,0.12318496427731852
pca_$\Delta\theta$,10,5,0.3358217724437168
corr,10,5,0.23868481222997376
pMSE,10,5,0.1327074684106388
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.05058937330600141
pca_$\Delta\theta$,10,5,0.8093465961075959
corr,10,5,0.2517484597052815
pMSE,10,5,0.20493072793612965
ks_test,10,5,0.44000000000000006
pca_$\Delta\lambda$,10,5,0.33721204129477755
pca_$\Delta\theta$,10,5,0.9951857410086439
corr,10,5,0.08320406151664064
pMSE,10,5,0.10877465943009812
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.047114134363418984
pca_$\Delta\theta$,10,5,0.22697398986016215
corr,10,5,0.30884358126717404
pMSE,10,5,0.11166429517366452
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.09690455279858648
pca_$\Delta\theta$,10,5,0.7547578494190453
corr,10,5,0.12192482884242035
pMSE,10,5,0.1822603521838187
ks_test,10,5,0.39999999999999997
pca_$\Delta\lambda$,10,5,0.1614252389076661
pca_$\Delta\theta$,10,5,0.3760336528314446
corr,10,5,0.19986815097587265
pMSE,10,5,0.24567791683360068
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.21419176753163804
pca_$\Delta\theta$,10,5,0.9618627417532442
corr,10,5,0.22856217647778485
pMSE,10,5,0.17682135441947477
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.04978844265430915
pca_$\Delta\theta$,10,5,0.6921874810432004
corr,10,5,0.2931975250821845
pMSE,10,5,0.22689994497348112
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.1074256717482648
pca_$\Delta\theta$,10,5,0.6583908333236931
corr,10,5,0.1316744810168827
pMSE,10,5,0.09737542780763772
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.14172447981959937
pca_$\Delta\theta$,10,5,0.2314902112390566
corr,10,5,0.08249359283011018
pMSE,10,5,0.21283743990353035
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.08057283837097652
pca_$\Delta\theta$,10,5,0.3146023649478101
corr,10,5,0.17173060585170608
pMSE,10,5,0.14591055776741807
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.21241233782085422
pca_$\Delta\theta$,10,5,0.35905084229630874
corr,10,5,0.13959469261882598
pMSE,10,5,0.1378022770696388
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.05872944476763193
pca_$\Delta\theta$,10,5,0.37920164512941823
corr,10,5,0.19228455859074028
pMSE,10,5,0.22777675805362016
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.31049575291670434
pca_$\Delta\theta$,10,5,0.3491446361489015
corr,10,5,0.15972765329215355
pMSE,10,5,0.19494016721202242
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.12170657303310246
pca_$\Delta\theta$,10,5,0.3046106384627342
corr,10,5,0.19508305105353468
pMSE,10,5,0.25669022759998195
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.10463758919370203
pca_$\Delta\theta$,10,5,0.534650652342476
corr,10,5,0.16274120624237035
pMSE,10,5,0.11613651524445157
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.1430339608880388
pca_$\Delta\theta$,10,5,0.2849177045180184
corr,10,5,0.18489112426835172
pMSE,10,5,0.2993115800822894
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.13649956670743724
pca_$\Delta\theta$,10,5,0.4486310594838296
corr,10,5,0.15023655979781167
pMSE,10,5,0.1492259997602664
ks_test,10,5,0.24
pca_$\Delta\lambda$,10,5,0.11238943162184284
pca_$\Delta\theta$,10,5,0.28383049100653535
corr,10,5,0.32693620301316695
pMSE,10,5,0.16000923068519973
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.17895158184303064
pca_$\Delta\theta$,10,5,0.9611187210076968
corr,10,5,0.24855397474321533
pMSE,10,5,0.2388431262612909
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.08180616267679525
pca_$\Delta\theta$,10,5,0.7896971733196392
corr,10,5,0.2541187792418266
pMSE,10,5,0.34865701907697455
ks_test,10,5,0.4800000000000001
pca_$\Delta\lambda$,10,5,0.29533322257628003
pca_$\Delta\theta$,10,5,0.478223533397178
corr,10,5,0.11298314900504336
pMSE,10,5,0.14338845360846603
ks_test,10,5,0.26
pca_$\Delta\lambda$,10,5,0.1093912510391025
pca_$\Delta\theta$,10,5,0.3525620998250296
corr,10,5,0.16920246508427297
pMSE,10,5,0.13140731735480854
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.09189384192453788
pca_$\Delta\theta$,10,5,0.5002790040260364
corr,10,5,0.24376606575746593
pMSE,10,5,0.1958801505142543
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.12177815650856973
pca_$\Delta\theta$,10,5,0.980934041206297
corr,10,5,0.18104594104882216
pMSE,10,5,0.1696000452172146
ks_test,10,5,0.2
pca_$\Delta\lambda$,10,5,0.025442815474677104
pca_$\Delta\theta$,10,5,0.3386762830812073
corr,10,5,0.1364078832203004
pMSE,10,5,0.2662475853121201
ks_test,10,5,0.4800000000000001
pca_$\Delta\lambda$,10,5,0.028660524409309912
pca_$\Delta\theta$,10,5,0.3712904586066365
corr,10,5,0.04813827014689804
pMSE,10,5,0.17216090044975912
ks_test,10,5,0.28
